,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
nominal,0.96,0.95,0.93,0.9,0.85,0.81
parton shower,0.19,0.18,0.21,0.2,0.22,0.28
splitting kernel,0.09,0.07,0.06,0.06,0.05,0.07
MC nonclosure,0.08,0.09,0.1,0.12,0.17,0.21
pdf weight,0.06,0.06,0.07,0.08,0.08,0.06
scale variation,0.05,0.05,0.05,0.05,0.07,0.08
hadronization,0.02,0.01,0.01,0.01,0.01,0.01
tracking,0.01,0.01,0.01,0.01,0.01,0.01
matrix element,0.01,0.01,0.02,0.03,0.06,0.09
JES/JER,0.01,0.01,0.01,0.01,0.01,0.01
Statistical,0.01,0.01,0.01,0.01,0.01,0.03
gluon reweight,0.01,0.01,0.01,0.01,0.01,0.02
Total Uncertainty,0.23,0.23,0.25,0.26,0.31,0.38
